ind_ID	sub_pop_ID	geo_pop_ID
NU_L27781	BB	artic_archipelago
NU_L29383	BB	artic_archipelago
NU_L29385	BB	artic_archipelago
NU_L29389	BB	artic_archipelago
NU_L29390	BB	artic_archipelago
NU_L29392	BB	artic_archipelago
NU_L29394	BB	artic_archipelago
NU_L35205	BB	artic_archipelago
NU_L35206	BB	artic_archipelago
NU_L35209	BB	artic_archipelago
NU_L35211	BB	artic_archipelago
NU_L35214	BB	artic_archipelago
NU_L35216	BB	artic_archipelago
NU_L35219	BB	artic_archipelago
NU_L35221	BB	artic_archipelago
NU_L35525	BB	artic_archipelago
NU_L35527	BB	artic_archipelago
NU_L35529	BB	artic_archipelago
NU_L35531	BB	artic_archipelago
NU_L39086	BB	artic_archipelago
NU_L39087	BB	artic_archipelago
NU_L39090	BB	artic_archipelago
NU_L39091	BB	artic_archipelago
NU_L39093	BB	artic_archipelago
NU_L39094	BB	artic_archipelago
NU_L39110	BB	artic_archipelago
NU_L39153	BB	artic_archipelago
NU_L39154	BB	artic_archipelago
NU_L39155	BB	artic_archipelago
NU_L39156	BB	artic_archipelago
NU_L39157	BB	artic_archipelago
NU_L39322	BB	artic_archipelago
NU_L39440	BB	artic_archipelago
NU_L39448	BB	artic_archipelago
NU_L39453	BB	artic_archipelago
NU_L39502	BB	artic_archipelago
NU_L39515	BB	artic_archipelago
NU_L39532	BB	artic_archipelago
NU_L39664	BB	artic_archipelago
NU_L39752	BB	artic_archipelago
NU_L39834	BB	artic_archipelago
NU_L40060	BB	artic_archipelago
NU_L29285	DS	artic_archipelago
NU_L29286	DS	artic_archipelago
NU_L29287	DS	artic_archipelago
NU_L29288	DS	artic_archipelago
NU_L29374	DS	artic_archipelago
NU_L35401	DS	artic_archipelago
NU_L35406	DS	artic_archipelago
NU_L35412	DS	artic_archipelago
NU_L35729	DS	artic_archipelago
NU_L39059	DS	artic_archipelago
NU_L39060	DS	artic_archipelago
NU_L39088	DS	artic_archipelago
NU_L39097	DS	artic_archipelago
NU_L39098	DS	artic_archipelago
NU_L39099	DS	artic_archipelago
NU_L39449	DS	artic_archipelago
NU_L39450	DS	artic_archipelago
NU_L39454	DS	artic_archipelago
NU_L39456	DS	artic_archipelago
NU_L39629	DS	artic_archipelago
NU_L39632	DS	artic_archipelago
NU_L39633	DS	artic_archipelago
NU_L39634	DS	artic_archipelago
NU_L39635	DS	artic_archipelago
NU_L39643	DS	artic_archipelago
NU_L39686	DS	artic_archipelago
NU_L39687	DS	artic_archipelago
NU_L39693	DS	artic_archipelago
NU_L39695	DS	artic_archipelago
NU_L39696	DS	artic_archipelago
NU_L39697	DS	artic_archipelago
NU_L39698	DS	artic_archipelago
NU_L39699	DS	artic_archipelago
NU_L39702	DS	artic_archipelago
NU_L39703	DS	artic_archipelago
NU_L39705	DS	artic_archipelago
NU_L28406	FB	hudson_complex
NU_L28408	FB	hudson_complex
NU_L28425	FB	hudson_complex
NU_L28427	FB	hudson_complex
NU_L28428	FB	hudson_complex
NU_L29278	FB	hudson_complex
NU_L29280	FB	hudson_complex
NU_L29281	FB	hudson_complex
NU_L29282	FB	hudson_complex
NU_L29283	FB	hudson_complex
NU_L29373	FB	hudson_complex
NU_L29376	FB	hudson_complex
NU_L35174	FB	hudson_complex
NU_L35340	FB	hudson_complex
NU_L35342	FB	hudson_complex
NU_L35343	FB	hudson_complex
NU_L35344	FB	hudson_complex
NU_L35349	FB	hudson_complex
NU_L35376	FB	hudson_complex
NU_L35379	FB	hudson_complex
NU_L35536	FB	hudson_complex
NU_L35575	FB	hudson_complex
NU_L39062	FB	hudson_complex
NU_L39063	FB	hudson_complex
NU_L39108	FB	hudson_complex
NU_L39109	FB	hudson_complex
NU_L39160	FB	hudson_complex
NU_L39162	FB	hudson_complex
NU_L39163	FB	hudson_complex
NU_L39483	FB	hudson_complex
NU_L39484	FB	hudson_complex
NU_L39489	FB	hudson_complex
NU_L39491	FB	hudson_complex
NU_L39493	FB	hudson_complex
NU_L39494	FB	hudson_complex
